,id,y,x,street_count,lat,lon,geometry,highway,name,ref,zone
28054,8370809481,59.9512875,30.4731238,,59.9512875,30.4731238,POINT (30.4731238 59.9512875),,Индустриальный,,79
28055,8370809483,59.9570057,30.4216414,,59.9570057,30.4216414,POINT (30.4216414 59.9570057),,Здоровье,,78
28056,8370809508,59.9860763,30.3040449,,59.9860763,30.3040449,POINT (30.3040449 59.9860763),,Dental House,,106
28057,8370809510,60.0718186,30.3377366,,60.0718186,30.3377366,POINT (30.3377366 60.0718186),,Coffee Week,,58
28058,8370856321,59.9561987,30.2967793,,59.9561987,30.2967793,POINT (30.2967793 59.9561987),,ИнтерСтиль,,88
28059,8370856334,59.9679483,30.3405852,,59.9679483,30.3405852,POINT (30.3405852 59.9679483),,Baggins Coffee,,53
28060,8370856336,60.033736,30.226604,,60.033736,30.226604,POINT (30.226604 60.033736),,Baggins Coffee,,110
28061,8386338118,60.01763,30.3093785,,60.01763,30.3093785,POINT (30.3093785 60.01763),,,,110
28062,8393613693,59.9897374,30.1920975,,59.9897374,30.1920975,POINT (30.1920975 59.9897374),,Andrey Romanov,,104
28063,8393617639,59.9899281,30.1909807,,59.9899281,30.1909807,POINT (30.1909807 59.9899281),,Катод,,104
28064,8395261061,59.9524015,30.2624309,,59.9524015,30.2624309,POINT (30.2624309 59.9524015),,АГЗС - Global Gas,,52
28065,8401892996,59.9993036,30.3597555,,59.9993036,30.3597555,POINT (30.3597555 59.9993036),,СДЭК,,54
28066,8401937865,60.0684728,30.4286606,,60.0684728,30.4286606,POINT (30.4286606 60.0684728),,Шаверлэнд,,119
28067,8401971374,60.0683817,30.4285812,,60.0683817,30.4285812,POINT (30.4285812 60.0683817),,Пекарня N1,,119
28068,8401981867,60.0679278,30.428239,,60.0679278,30.428239,POINT (30.428239 60.0679278),,Магнит,,119
28069,8408650417,60.0405182,30.3479878,,60.0405182,30.3479878,POINT (30.3479878 60.0405182),,Ермолино,,57
28070,8414328927,60.0484092,30.3545445,,60.0484092,30.3545445,POINT (30.3545445 60.0484092),,Египетский дахаб,,57
28071,8414329218,59.9940404,30.3897951,,59.9940404,30.3897951,POINT (30.3897951 59.9940404),,Бристоль,,62
28072,8415242417,60.0281307,30.2469661,,60.0281307,30.2469661,POINT (30.2469661 60.0281307),,Кручу Верчу,,109
28073,8418409404,59.9970619,30.1958195,,59.9970619,30.1958195,POINT (30.1958195 59.9970619),,Офис врача общей практики №6,,104
28074,8422552388,59.974144,30.4016876,,59.974144,30.4016876,POINT (30.4016876 59.974144),,Педагогический колледж 4,,65
28075,8424344517,60.0005417,30.3004532,,60.0005417,30.3004532,POINT (30.3004532 60.0005417),,Клиника Ткачева Епифанова,,105
28076,8424518744,60.0473524,30.3654837,,60.0473524,30.3654837,POINT (30.3654837 60.0473524),,Перекрёсток,,57
28077,8425341594,59.9871449,30.3419717,,59.9871449,30.3419717,POINT (30.3419717 59.9871449),,Маркет Вкуса,,53
28078,8430708898,60.03684,30.3660161,,60.03684,30.3660161,POINT (30.3660161 60.03684),,Белорусские продукты,,57
28079,8430708900,60.0430239,30.3730557,,60.0430239,30.3730557,POINT (30.3730557 60.0430239),,Pizza Hut,,66
28080,8430708901,60.0369086,30.3647654,,60.0369086,30.3647654,POINT (30.3647654 60.0369086),,Столички,,57
28081,8433262172,60.0513526,30.4362112,,60.0513526,30.4362112,POINT (30.4362112 60.0513526),,Мясной #1,,119
28082,8435780117,59.9744949,30.3244228,,59.9744949,30.3244228,POINT (30.3244228 59.9744949),,Винный склад,,89
28083,8443110217,59.9686925,30.3160108,,59.9686925,30.3160108,POINT (30.3160108 59.9686925),,Easy Breezy,,89
28084,8454586923,60.0069227,30.6062878,,60.0069227,30.6062878,POINT (30.6062878 60.0069227),,Верный,,111
28085,8454586924,60.0226241,30.6260952,,60.0226241,30.6260952,POINT (30.6260952 60.0226241),,Продукты,,111
28086,8454586925,60.0311557,30.6289123,,60.0311557,30.6289123,POINT (30.6289123 60.0311557),,Верный,,111
28087,8454586926,60.0253727,30.6409441,,60.0253727,30.6409441,POINT (30.6409441 60.0253727),,Верный,,111
28088,8454586927,60.0240352,30.6412945,,60.0240352,30.6412945,POINT (30.6412945 60.0240352),,Продукты,,111
28089,8458456739,59.9695765,30.3171681,,59.9695765,30.3171681,POINT (30.3171681 59.9695765),,Футура бар,,89
28090,8458480867,59.9647331,30.483263,,59.9647331,30.483263,POINT (30.483263 59.9647331),,StarLine,,77
28091,8458480869,59.9940567,30.2820473,,59.9940567,30.2820473,POINT (30.2820473 59.9940567),,StarLine,,105
28092,8462356085,60.0564385,30.4320514,,60.0564385,30.4320514,POINT (30.4320514 60.0564385),,Лапшичка,,119
28093,8462356093,60.0566641,30.4373637,,60.0566641,30.4373637,POINT (30.4373637 60.0566641),,,,119
28094,8462356094,60.0563073,30.4393315,,60.0563073,30.4393315,POINT (30.4393315 60.0563073),,Колхоз,,119
28095,8462356103,60.0512586,30.4450817,,60.0512586,30.4450817,POINT (30.4450817 60.0512586),,Булочная №119,,119
28096,8462356111,60.0534109,30.4504286,,60.0534109,30.4504286,POINT (30.4504286 60.0534109),,PR Nail Bar,,119
28097,8462356112,60.0513478,30.4502907,,60.0513478,30.4502907,POINT (30.4502907 60.0513478),,РосАл,,119
28098,8475711792,59.9638462,30.3115973,,59.9638462,30.3115973,POINT (30.3115973 59.9638462),,Продукты,,87
28099,8475711793,59.9867639,30.2982125,,59.9867639,30.2982125,POINT (30.2982125 59.9867639),,Дамаск Кебаб,,106
28100,8475718630,60.0130902,30.25206,,60.0130902,30.25206,POINT (30.25206 60.0130902),,Green,,103
28101,8475718643,60.0170148,30.2447312,,60.0170148,30.2447312,POINT (30.2447312 60.0170148),,Вита,,109
28102,8481171872,60.0094101,30.4136554,,60.0094101,30.4136554,POINT (30.4136554 60.0094101),,Хлебница,,61
28103,8481171874,60.0096309,30.4127813,,60.0096309,30.4127813,POINT (30.4127813 60.0096309),,ТриКотаЖ,,61
28104,8481171875,60.0097381,30.4123568,,60.0097381,30.4123568,POINT (30.4123568 60.0097381),,Sharm,,61
28105,8483370528,60.0361721,30.4448143,,60.0361721,30.4448143,POINT (30.4448143 60.0361721),,Перекрёсток,,75
28106,8492806507,59.9589065,30.3125778,,59.9589065,30.3125778,POINT (30.3125778 59.9589065),,РосАл,,87
28107,8492894234,59.9563497,30.3068678,,59.9563497,30.3068678,POINT (30.3068678 59.9563497),,Чистый мир автомобиля,,87
28108,8503648357,60.0096694,30.3599169,,60.0096694,30.3599169,POINT (30.3599169 60.0096694),,bumer.online,,54
28109,8503649626,60.0097755,30.3598934,,60.0097755,30.3598934,POINT (30.3598934 60.0097755),,Corleonespb,,54
28110,8505324048,60.0310545,30.2333525,,60.0310545,30.2333525,POINT (30.2333525 60.0310545),,Шаверлэнд,,110
28111,8507562482,59.9492778,30.2287447,,59.9492778,30.2287447,POINT (30.2287447 59.9492778),,Просто Вася,,52
28112,8508020560,60.0302219,30.3359927,,60.0302219,30.3359927,POINT (30.3359927 60.0302219),,Маршал авто Север,,54
28113,8514328814,60.0286401,30.405772,,60.0286401,30.405772,POINT (30.405772 60.0286401),,Продукты,,67
28114,8514337389,60.0390808,30.4043972,,60.0390808,30.4043972,POINT (30.4043972 60.0390808),,ВкусВилл,,63
28115,8514606410,60.0178686,30.3214235,,60.0178686,30.3214235,POINT (30.3214235 60.0178686),,Главпиво,,54
28116,8518089725,60.1778933,30.5357145,,60.1778933,30.5357145,POINT (30.5357145 60.1778933),,,,0
28117,8519106718,59.973098,30.2747907,,59.973098,30.2747907,POINT (30.2747907 59.973098),,Госпиталь управления ФСБ,,86
28118,8521189922,60.029688,30.331347,,60.029688,30.331347,POINT (30.331347 60.029688),,Дентал Платс,,54
28119,8521189924,59.9731335,30.3884465,,59.9731335,30.3884465,POINT (30.3884465 59.9731335),,Мир стоматологии,,65
28120,8521189925,60.012156,30.255869,,60.012156,30.255869,POINT (30.255869 60.012156),,Kistochki,,103
28121,8521189929,59.999496,30.369815,,59.999496,30.369815,POINT (30.369815 59.999496),,ТрансСервисСнаб,,64
28122,8521189940,60.060889,30.3166464,,60.060889,30.3166464,POINT (30.3166464 60.060889),,Неболейка,,59
28123,8521189941,60.0561165,30.3212705,,60.0561165,30.3212705,POINT (30.3212705 60.0561165),,Неболейка,,59
28124,8521189942,60.0382932,30.3577888,,60.0382932,30.3577888,POINT (30.3577888 60.0382932),,Неболейка,,57
28125,8521189947,60.0723953,30.2386746,,60.0723953,30.2386746,POINT (30.2386746 60.0723953),,Атмосфера-Вет,,58
28126,8521189948,59.992489,30.3677773,,59.992489,30.3677773,POINT (30.3677773 59.992489),,Автостиль,,62
28127,8521189956,60.0337304,30.2422822,,60.0337304,30.2422822,POINT (30.2422822 60.0337304),,Foodie Box,,110
28128,8521189958,59.9523592,30.4520577,,59.9523592,30.4520577,POINT (30.4520577 59.9523592),,Drive Avto,,79
