name_1,geometry
Петербургские аптеки,"LINESTRING (30.345569 59.9428294, 30.34557400950252 59.94272378927041)"
Петербургские аптеки,"LINESTRING (30.345569 59.9428294, 30.34557400950252 59.94272378927041)"
Озерки,"LINESTRING (30.3479121 59.9427225, 30.347906790202288 59.94283444157666)"
ПТК,"LINESTRING (30.2440353 59.8660948, 30.244026777181528 59.86551999438416)"
Санкт-Петербург 198184,"LINESTRING (30.2204723 59.9027986, 30.220669533484703 59.903371586790556)"
Санкт-Петербург 198184,"LINESTRING (30.2204723 59.9027986, 30.220669533484703 59.903371586790556)"
РеалЪ,"LINESTRING (30.2201925 59.9033459, 30.22025093995413 59.903515675034946)"
РеалЪ,"LINESTRING (30.2201925 59.9033459, 30.22025093995413 59.903515675034946)"
ВТБ,"LINESTRING (30.3808394 59.9250262, 30.380885325514022 59.92515327198952)"
Бриз,"LINESTRING (30.2686674 59.8743896, 30.268692533249187 59.87447587678732)"
Rostic`s,"LINESTRING (30.2679437 59.8523086, 30.26794326707128 59.85192293266559)"
Checafe,"LINESTRING (30.317303 59.9272848, 30.31706912108001 59.92705659281106)"
Дикси,"LINESTRING (30.4501295 59.9242609, 30.450230748121776 59.92467470227699)"
Дикси,"LINESTRING (30.4501295 59.9242609, 30.450230748121776 59.92467470227699)"
Магнит,"LINESTRING (30.4529942 59.9235465, 30.45309855828494 59.92397301355081)"
Магнит,"LINESTRING (30.4529942 59.9235465, 30.45309855828494 59.92397301355081)"
Гостоэко,"LINESTRING (30.6078084 59.7527588, 30.607475208280068 59.752885177237204)"
Шаверма,"LINESTRING (30.3482103 59.9329804, 30.348008951640796 59.932993109842194)"
Сбербанк,"LINESTRING (30.3072367 59.9243158, 30.307237809535458 59.92440258806717)"
Сбербанк,"LINESTRING (30.3072367 59.9243158, 30.307237809535458 59.92440258806717)"
Здоровье,"LINESTRING (30.4925222 59.8402337, 30.49264229853104 59.84066498221381)"
Би-Би,"LINESTRING (30.4957171 59.8392936, 30.495850158239534 59.83977054759904)"
Би-Би,"LINESTRING (30.4894753 59.8929547, 30.489445657267304 59.89245636295776)"
,"LINESTRING (30.2792329 59.8897869, 30.278738530929026 59.890276731493444)"
Бриз,"LINESTRING (30.223042 59.8276711, 30.222529414601766 59.82731689419405)"
Бриз,"LINESTRING (30.223042 59.8276711, 30.222529414601766 59.82731689419405)"
Coffeeshop Company,"LINESTRING (30.3164333 59.9259841, 30.316384422795576 59.92610399006654)"
Ароматный мир,"LINESTRING (30.3135508 59.9251553, 30.313588512364632 59.92506560202099)"
Бюро,"LINESTRING (30.3353547 59.9352302, 30.33545873595565 59.93518002349524)"
Avocado Queen,"LINESTRING (30.3357311 59.9359903, 30.33582718209 59.93594395964185)"
Madagascar,"LINESTRING (30.3357349 59.935029, 30.33558819031589 59.93509805426588)"
Теремок,"LINESTRING (30.5046903 59.8316596, 30.504613458778525 59.8314345059421)"
Санкт-Петербург,"LINESTRING (30.5054052 59.8322177, 30.50496264760393 59.8327888989088)"
ВкусВилл,"LINESTRING (30.5063395 59.8324421, 30.506427521471945 59.83272171366347)"
ВкусВилл,"LINESTRING (30.5063395 59.8324421, 30.506427521471945 59.83272171366347)"
Пятёрочка,"LINESTRING (30.5070632 59.8329921, 30.50692844340364 59.832564025068386)"
,"LINESTRING (30.4310874 59.9254245, 30.43119350077004 59.92579999400299)"
,"LINESTRING (30.4310874 59.9254245, 30.43119350077004 59.92579999400299)"
Рыбацкая библиотека № 6,"LINESTRING (30.4998777 59.8391568, 30.499782791641405 59.83881645698587)"
Вкусно — и точка,"LINESTRING (30.4148828 59.8330635, 30.415119178604293 59.83213136467345)"
,"LINESTRING (30.4275046 59.7238865, 30.427598282999853 59.723642529827046)"
Сбербанк,"LINESTRING (30.4273331 59.7237836, 30.427414385889207 59.72357191450231)"
ДЮК,"LINESTRING (30.428819 59.7213947, 30.42886217224275 59.72116658519062)"
Рост,"LINESTRING (30.4290055 59.7217744, 30.429029126864 59.721967803643295)"
Пушкинская аптека,"LINESTRING (30.4267102 59.7232506, 30.426818670846327 59.723579355151315)"
Ветаптека ооо Фармакея,"LINESTRING (30.4265928 59.7229162, 30.426625350264754 59.72265371719752)"
Красное&Белое,"LINESTRING (30.2398196 59.9334398, 30.239814038714172 59.93352384896679)"
Автомаркет,"LINESTRING (30.2368561 59.9318753, 30.236677646962622 59.93179450310177)"
Старый Тбилиси,"LINESTRING (30.2403706 59.9321164, 30.240139441998437 59.931994076633906)"
Старый Тбилиси,"LINESTRING (30.2403706 59.9321164, 30.240139441998437 59.931994076633906)"
Синий крест,"LINESTRING (30.2384676 59.9334241, 30.238470248489204 59.933517690987216)"
Дикси,"LINESTRING (30.2394515 59.9323364, 30.23984742310684 59.93254591317633)"
Библиотека №4,"LINESTRING (30.2394749 59.9328089, 30.239657205960505 59.93290537201739)"
Лавка Пекаря,"LINESTRING (30.2413946 59.9317366, 30.241367646448623 59.93191176349855)"
Лека-фарм,"LINESTRING (30.2403967 59.9310851, 30.24056460100633 59.931170881672244)"
ellis,"LINESTRING (30.2409457 59.9309176, 30.24074610382342 59.93081562506741)"
Чебуречная,"LINESTRING (30.2412891 59.9317258, 30.241262963269016 59.9318956552141)"
СПб государственная академия театрального искусства,"LINESTRING (30.2385561 59.931189, 30.238779166361912 59.9312995477147)"
Продукты,"LINESTRING (30.2411872 59.9304041, 30.2410041382715 59.93031057262015)"
Бисквит,"LINESTRING (30.240425 59.9309914, 30.240608421643895 59.931085111262874)"
Кабанчик,"LINESTRING (30.2410203 59.9307554, 30.24082726118056 59.930656775262115)"
Bona Capona,"LINESTRING (30.4132662 59.7226443, 30.413320630650112 59.72281009410225)"
Сбербанк,"LINESTRING (30.582523 59.7342385, 30.5791675 59.7354313)"
Сбербанк,"LINESTRING (30.582523 59.7342385, 30.5791675 59.7354313)"
Сбербанк,"LINESTRING (30.582523 59.7342385, 30.5791675 59.7354313)"
Сбербанк,"LINESTRING (30.582523 59.7342385, 30.5791675 59.7354313)"
Бургер Кинг,"LINESTRING (30.3152618 59.9364347, 30.31510713576836 59.93657322818582)"
Пушкин 196601,"LINESTRING (30.4061223 59.717441, 30.40603574014757 59.71754976203346)"
"Итальянский ресторан ""Фортунато""","LINESTRING (30.4051356 59.7171418, 30.405285879525078 59.71695297450786)"
Kauffman,"LINESTRING (30.4056196 59.7176619, 30.40566687490969 59.71779742933616)"
Автостиль,"LINESTRING (30.2818399 59.8636787, 30.282068205708484 59.86412747980071)"
Росспан,"LINESTRING (30.2828736 59.8631597, 30.28309721093988 59.86357712789475)"
Стайл,"LINESTRING (30.4091508 59.7197878, 30.409038439883787 59.71992982170018)"
Стайл,"LINESTRING (30.4091508 59.7197878, 30.409038439883787 59.71992982170018)"
Лакомка,"LINESTRING (30.4084638 59.7192255, 30.40841401265443 59.71907234821527)"
Хлебниковъ,"LINESTRING (30.4087318 59.719482, 30.408631940678493 59.719608220861076)"
Склад 22,"LINESTRING (30.4095654 59.7188345, 30.40952528169636 59.71871109133596)"
Гостинец,"LINESTRING (30.4079681 59.7188553, 30.407858520293917 59.71899367182037)"
Шарм,"LINESTRING (30.2457933 59.930373, 30.246048285582077 59.930504808424175)"
,"LINESTRING (30.2452565 59.9307536, 30.24527330479054 59.930624198512994)"
Пекарня Арго,"LINESTRING (30.2462723 59.9306288, 30.246256316600277 59.930751862509005)"
Пекарня Арго,"LINESTRING (30.2462723 59.9306288, 30.246256316600277 59.930751862509005)"
Клио,"LINESTRING (30.2448581 59.9304573, 30.244843671427745 59.93056840395578)"
Клио,"LINESTRING (30.2448581 59.9304573, 30.244843671427745 59.93056840395578)"
Старый двор,"LINESTRING (30.25414 59.9335159, 30.254241831036193 59.93321277727273)"
Старый двор,"LINESTRING (30.25414 59.9335159, 30.254241831036193 59.93321277727273)"
Скуратов,"LINESTRING (30.2531682 59.9332138, 30.25323529651524 59.93294560317653)"
Домино,"LINESTRING (30.2542495 59.933617, 30.2543707458052 59.933256084894786)"
,"LINESTRING (30.2557912 59.9339558, 30.255858374905998 59.93375583895207)"
,"LINESTRING (30.2557912 59.9339558, 30.255858374905998 59.93375583895207)"
Озерки,"LINESTRING (30.2505821 59.9315775, 30.250598725292114 59.931507416977084)"
Церковь Рождества Пресвятой Богородицы,"LINESTRING (30.4125728 59.7154395, 30.41251289151869 59.7152787299362)"
Столовая,"LINESTRING (30.2486086 59.9288685, 30.248563897579174 59.92902122634623)"
Стиль,"LINESTRING (30.5635243 59.809661, 30.563426572288698 59.809398833801275)"
,"LINESTRING (30.5615433 59.8111315, 30.561715353044303 59.81087867278337)"
Фармакор,"LINESTRING (30.4100613 59.716036, 30.41011243414472 59.71617322330345)"
Фармакор,"LINESTRING (30.4100613 59.716036, 30.41011243414472 59.71617322330345)"
Кемер,"LINESTRING (30.3289353 59.9268616, 30.328987909741024 59.926966433548635)"
Продукты,"LINESTRING (30.3259447 59.9283398, 30.326002957920014 59.92845660222271)"
Петербургские аптеки,"LINESTRING (30.3227028 59.9286666, 30.32266320592611 59.92876028744923)"
