geometry,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"LINESTRING (30.2361453 59.8398334, 30.236275387284913 59.83946710816322)",node,459964645,Мини Лента,,,convenience,70.0,17692,3536076789,3536076781,,,1,"[ ""residential"" ]","[ ""asphalt"" ]",1,,,,,491.868,0.491868,1800,60,0.0081978,29.51208,0.0003887060732612
"LINESTRING (30.2968131 59.9180657, 30.29670622573886 59.91797153861837)",node,463252327,Азия плов,cafe,,,43.0,26391,11397746718,1636659324,,,2,"[ ""primary"" ]","[ ""asphalt"" ]",1,"[ ""Лермонтовский проспект"" ]",,,,190.175,0.190175,3600,60,0.0031695833333333,11.4105,0.0001424376126085
"LINESTRING (30.2977114 59.9145793, 30.297550276181973 59.914568374795245)",node,463252332,Mossmoda,,,clothes,45.0,18164,3692812910,3692812913,,,2,"[ ""primary"" ]","[ ""asphalt"" ]",1,"[ ""Лермонтовский проспект"" ]",,,,78.104,0.078104,3600,60,0.0013017333333333,4.68624,0.0001614937919392
"LINESTRING (30.2290914 59.8582492, 30.22958347382436 59.85752116933241)",node,469739698,Вкусно — и точка,fast_food,,,18.0,5446,582997570,1911633802,,,3,"[ ""secondary"" ]","[ ""asphalt"" ]",1,"[ ""проспект Маршала Жукова"" ]",,,,294.853,0.294853,4000,60,0.0049142166666666,17.69118,0.0008787293676537
"LINESTRING (30.3210514 59.9244074, 30.321540855519988 59.92529890319363)",node,469751000,Капуста,fast_food,,,42.0,11303,1570984707,308641585,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""улица Ефимова"" ]",,,,414.855,0.414855,1800,60,0.00691425,24.8913,0.0010170273596587
"LINESTRING (30.3210514 59.9244074, 30.321540855519988 59.92529890319363)",node,469751000,Капуста,fast_food,,,42.0,3891,308641585,1570984707,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""улица Ефимова"" ]",,,,414.855,0.414855,1800,60,0.00691425,24.8913,0.0010170273596587
"LINESTRING (30.3547737 59.9360767, 30.354771194519362 59.935930440945086)",node,486557633,Ливерпуль,pub,,,101.0,23504,8838493703,8838493699,,,2,"[ ""secondary"" ]","[ ""asphalt"" ]",0,"[ ""улица Жуковского"" ]",,,,125.594,0.125594,1800,60,0.0020932333333333,7.53564,0.0001462805133226
"LINESTRING (30.3547737 59.9360767, 30.354771194519362 59.935930440945086)",node,486557633,Ливерпуль,pub,,,101.0,23490,8838493699,8838493703,,,2,"[ ""secondary"" ]","[ ""asphalt"" ]",0,"[ ""улица Жуковского"" ]",,,,125.594,0.125594,1800,60,0.0020932333333333,7.53564,0.0001462805133226
"LINESTRING (30.2957589 59.9266046, 30.29578486206718 59.92649001572669)",node,487255525,Shamrock,pub,,,47.0,19037,4112024646,4112024642,,,3,"[ ""secondary"" ]","[ ""asphalt"" ]",1,"[ ""улица Декабристов"" ]",,,,83.803,0.083803,4000,60,0.0013967166666666,5.02818,0.0001174886574149
"LINESTRING (30.2844056 59.917214, 30.28440225482875 59.91723171962866)",node,487274535,Продукты,,,convenience,43.0,11159,1559611196,1559587125,,,1,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""Садовая улица"" ]",,,,338.889,0.338889,1800,60,0.00564815,20.33334,1.80326207329338e-05
